Filename,Operator,DeviceID,Battery_Voltage,Battery_Percentage,Network_Status,Network_Type,Firmare_Revision,Time_Stamp,Latitude,Longitude,ChunkID,TotalSize,Format,SubChunk1ID,SubChunk1Size,AudioFormat,NumChannels,SampleRate,ByteRate,BlockAlign,BitsPerSample,SubChunk2ID,SubChunk2Size
C190417.WAV,Airtel,C9108070276, 4.0V,99.4, 17,HSPA, Ver1.0,2/7/2019-19420,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190418.WAV,Airtel,C9108070276, 4.0V,99.4, 17,HSPA, Ver1.0,2/7/2019-19439,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190419.WAV,Airtel,C9108070276, 4.0V,99.2, 17,HSPA, Ver1.0,2/7/2019-19449,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190420.WAV,Airtel,C9108070276, 4.0V,99.2, 17,HSPA, Ver1.0,2/7/2019-19459,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190421.WAV,Airtel,C9108070276, 4.0V,99.1, 17,HSPA, Ver1.0,2/7/2019-1959,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190422.WAV,Airtel,C9108070276, 4.0V,99.1, 17,HSPA, Ver1.0,2/7/2019-19519,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190423.WAV,Airtel,C9108070276, 4.0V,98.9, 17,HSPA, Ver1.0,2/7/2019-19529,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190424.WAV,Airtel,C9108070276, 4.0V,98.9, 17,HSPA, Ver1.0,2/7/2019-19539,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190425.WAV,Airtel,C9108070276, 4.0V,98.8, 17,HSPA, Ver1.0,2/7/2019-19549,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190426.WAV,Airtel,C9108070276, 4.0V,98.6, 17,HSPA, Ver1.0,2/7/2019-19634,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190427.WAV,Airtel,C9108070276, 4.0V,98.4, 17,HSPA, Ver1.0,2/7/2019-19644,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190428.WAV,Airtel,C9108070276, 3.9V,98.4, 17,HSPA, Ver1.0,2/7/2019-19654,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190429.WAV,Airtel,C9108070276, 4.0V,98.3, 17,HSPA, Ver1.0,2/7/2019-1974,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190430.WAV,Airtel,C9108070276, 3.9V,98.1, 17,HSPA, Ver1.0,2/7/2019-19714,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190431.WAV,Airtel,C9108070276, 4.0V,98.1, 17,HSPA, Ver1.0,2/7/2019-19724,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190432.WAV,Airtel,C9108070276, 4.0V,98.0, 17,HSPA, Ver1.0,2/7/2019-19734,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190433.WAV,Airtel,C9108070276, 4.0V,97.8, 18,HSPA, Ver1.0,2/7/2019-19755,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190434.WAV,Airtel,C9108070276, 4.0V,97.8, 18,HSPA, Ver1.0,2/7/2019-1985,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190435.WAV,Airtel,C9108070276, 3.9V,97.7, 18,HSPA, Ver1.0,2/7/2019-19815,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
C190436.WAV,Airtel,C9108070276, 3.9V,97.7, 18,HSPA, Ver1.0,2/7/2019-19825,13.0075480,77.5744384 ,RIFF,320256,WAVE,fmt ,16,1,1,16000,32000,2,16,data,320000
